"SKU","Name","Category","Tier","CompositeScore","DTCMargin","ViableChannels","Actions"
"01","BHB Ketone Salts","Base","Star","78.7","92.1%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"02","MethylB Complete+ B Complex","Base","Core","74.2","90.6%","3","BUNDLE CANDIDATE - strong across all channels"
"03","Electrolyte Blend","Base","Core","73.0","88.7%","3","BUNDLE CANDIDATE - strong across all channels"
"04","GLP-1 Activator Complex","Base","Star","81.8","91.4%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"05","Magnesium Synergy Matrix","Base","Star","77.6","93.3%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"06","NeuroCalm BH4 Complex","Base","Star","83.0","93.4%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"07","Omega-3 DHA/EPA (Algal)","Base","Core","73.9","90.3%","3","BUNDLE CANDIDATE - strong across all channels"
"08","ToxiBind Matrix","Base","Core","74.3","90.8%","3","BUNDLE CANDIDATE - strong across all channels"
"09","Creatine HCL+","Advanced","Core","74.3","89%","3","BUNDLE CANDIDATE - strong across all channels"
"10","CATALYST+ Energy Multivitamin","Advanced","Core","72.7","86.3%","3","BUNDLE CANDIDATE - strong across all channels"
"11","Replenish NAD+","Advanced","Core","74.0","87%","3","BUNDLE CANDIDATE - strong across all channels"
"12","Balance+ Gut Repair","Advanced","Core","73.5","87.6%","3","BUNDLE CANDIDATE - strong across all channels"
"13","BLAST+ Nitric Oxide Stack","Advanced","Core","73.6","88%","3","BUNDLE CANDIDATE - strong across all channels"
"14","NeuroCalm+ (Calm+)","Advanced","Star","75.8","86.3%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"15","RELAX+ Sleep Support","Advanced","Core","72.8","88.3%","3","BUNDLE CANDIDATE - strong across all channels"
"16","Clean+ Detox & Liver Health","Advanced","Core","73.7","86.2%","3","BUNDLE CANDIDATE - strong across all channels"
"17","Teloprime+ Telomere Support","Advanced","Star","82.2","87.2%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"18","DigestiZorb+ Enzyme Complex","Advanced","Core","69.1","88.6%","3","BUNDLE CANDIDATE - strong across all channels"
"19","FOCUS+ Nootropic Formula","Advanced","Star","79.6","87.8%","3","PROMOTE - increase marketing spend and inventory priority; BUNDLE CANDIDATE - strong across all channels"
"20","RISE+ Male Testosterone","Advanced","Core","74.4","84.1%","3","BUNDLE CANDIDATE - strong across all channels"
"21","FLEX+ Joint & Inflammation","Advanced","Core","73.1","87.1%","3","BUNDLE CANDIDATE - strong across all channels"
"22","IRON+ Red Blood Cell Support","Advanced","Core","74.0","87%","3","BUNDLE CANDIDATE - strong across all channels"
