"SKU","Name","Category","AvgMonthlyDemand","SafetyStock","ReorderPoint","EOQ","WeeksOfSupply","InventoryValue","InventoryTurns","StockoutRisk","POUrgency","OrderQty","OrderValue"
"01","BHB Ketone Salts","Base","420","87","381","2000","11.1","5902.41","4.6","LOW","STABLE","2000","10860.00"
"02","MethylB Complete+ B Complex","Base","420","87","381","2000","11.1","5000.2","4.6","LOW","STABLE","2000","9200.0"
"03","Electrolyte Blend","Base","420","87","381","2000","11.1","6000.24","4.6","LOW","STABLE","2000","11040.00"
"04","GLP-1 Activator Complex","Base","420","87","381","1500","8.5","6428.16","6.0","LOW","STABLE","1500","11520.00"
"05","Magnesium Synergy Matrix","Base","420","87","381","2000","11.1","4261.04","4.6","LOW","STABLE","2000","7840.00"
"06","NeuroCalm BH4 Complex","Base","420","87","381","2000","11.1","6348.08","4.6","LOW","STABLE","2000","11680.00"
"07","Omega-3 DHA/EPA (Algal)","Base","420","87","381","2000","11.1","5152.38","4.6","LOW","STABLE","2000","9480.00"
"08","ToxiBind Matrix","Base","420","87","381","2000","11.1","4902.37","4.6","LOW","STABLE","2000","9020.00"
"09","Creatine HCL+","Advanced","394","126","493","1250","8.2","8155.86","6.3","LOW","PLANNED","1250","13575.00"
"10","CATALYST+ Energy Multivitamin","Advanced","394","126","493","1000","6.8","8501.08","7.6","LOW","SOON","1000","13580.00"
"11","Replenish NAD+","Advanced","394","126","493","1000","6.8","8782.78","7.6","LOW","SOON","1000","14030.00"
"12","Balance+ Gut Repair","Advanced","394","126","493","1250","8.2","9229.79","6.3","LOW","PLANNED","1250","15362.50"
"13","BLAST+ Nitric Oxide Stack","Advanced","394","126","493","1250","8.2","8869.31","6.3","LOW","PLANNED","1250","14762.50"
"14","NeuroCalm+ (Calm+)","Advanced","394","126","493","1000","6.8","11023.86","7.6","LOW","SOON","1000","17610.00"
"15","RELAX+ Sleep Support","Advanced","394","126","493","1250","8.2","7825.42","6.3","LOW","PLANNED","1250","13025.00"
"16","Clean+ Detox & Liver Health","Advanced","394","126","493","1000","6.8","9377.48","7.6","LOW","SOON","1000","14980.00"
"17","Teloprime+ Telomere Support","Advanced","394","126","493","750","5.5","12099.15","9.4","LOW","URGENT","750","18112.50"
"18","DigestiZorb+ Enzyme Complex","Advanced","394","126","493","1750","10.9","5585.58","4.7","LOW","STABLE","1750","9765.00"
"19","FOCUS+ Nootropic Formula","Advanced","394","126","493","1000","6.8","12150.66","7.6","LOW","SOON","1000","19410.00"
"20","RISE+ Male Testosterone","Advanced","394","126","493","1000","6.8","12858.04","7.6","LOW","SOON","1000","20540.00"
"21","FLEX+ Joint & Inflammation","Advanced","394","126","493","1250","8.2","9552.72","6.3","LOW","PLANNED","1250","15900.00"
"22","IRON+ Red Blood Cell Support","Advanced","394","126","493","1000","6.8","8845.38","7.6","LOW","SOON","1000","14130.00"
"23","NeuroCalm BH4+ (Advanced)","Advanced","394","126","493","1500","9.6","7025.52","5.4","LOW","PLANNED","1500","12030.00"
"24","Histamine Relief Protocol","Advanced","394","126","493","1000","6.8","9396.26","7.6","LOW","SOON","1000","15010.00"
