"Supplier","Region","LeadTimeDays","Ingredients","SKUs","AnnualSpend","SpendShare","CompositeScore","RiskTier","Recommendations"
"BioPerine/Sabinsa","India","28","5","3","2166.37","26.5%","53.3","ELEVATED","DIVERSIFY - over 25% of spend concentrated here; REGIONAL RISK - consider nearshore alternative"
"Albion Minerals","USA","21","11","5","1009.52","12.4%","62.4","MODERATE","DUAL SOURCE - 5 SKUs dependent; qualify alternate supplier"
"Cognizin/Kyowa","Japan","35","4","2","950.32","11.6%","66.4","MODERATE","BUFFER STOCK - 5+ week lead time requires extra safety stock"
"Nammex Inc","Canada/China","35","5","3","882.34","10.8%","60.8","MODERATE","BUFFER STOCK - 5+ week lead time requires extra safety stock"
"Kyowa Hakko Bio","Japan","35","4","3","766.50","9.4%","63.8","MODERATE","BUFFER STOCK - 5+ week lead time requires extra safety stock"
"Verdure Sciences","India/USA","28","8","3","629.37","7.7%","65.0","MODERATE","MAINTAIN - supplier relationship performing well"
"Precision Analytics","USA","7","3","2","620.34","7.6%","76.2","LOW","MAINTAIN - supplier relationship performing well"
"VitaGenix Europe","Germany","28","11","4","561.58","6.9%","64.5","MODERATE","MAINTAIN - supplier relationship performing well"
"KetoSynth Labs","USA","14","3","1","419.33","5.1%","81.2","LOW","MAINTAIN - supplier relationship performing well"
"DSM Nutritional","Switzerland","21","3","2","161.13","2.0%","77.4","LOW","MAINTAIN - supplier relationship performing well"
