sku_number,product_name,ingredient_name,dose_mg,delivery_form,category,dose_unit,sort_order
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Creatine Hydrochloride,2000.0,standard,amino_acid,mg,1
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",HMB-FA (Free Acid),2000.0,standard,other,mg,2
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Beta-Alanine (CarnoSyn®),800.0,standard,amino_acid,mg,3
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",R-Alpha Lipoic Acid,300.0,standard,cofactor,mg,4
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Glycine,100.0,standard,amino_acid,mg,5
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",L-Ergothioneine,12.0,standard,other,mg,6
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",BioPerine® (Black Pepper),10.0,standard,other,mg,7
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Methylfolate (5-MTHF),0.0,standard,vitamin,mcg,8
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Methylcobalamin (B12),0.5,standard,vitamin,mcg,9
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Pyridoxal-5-Phosphate (B6),5.0,standard,vitamin,mg,10
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Riboflavin-5-Phosphate (B2),5.0,standard,vitamin,mg,11
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Thiamine HCL (B1),10.0,standard,vitamin,mg,12
1,"Creatine HCL+ (Strength, Endurance & Muscle Recovery) Capsules",Niacin (as Niacinamide),15.0,standard,vitamin,mg,13
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium Bisglycinate,100.0,standard,mineral,iu,1
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium Citrate,75.0,standard,mineral,iu,2
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium Malate,75.0,standard,mineral,iu,3
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium Orotate,50.0,standard,mineral,iu,4
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium Taurate,50.0,standard,mineral,iu,5
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Magnesium L-Threonate,50.0,standard,mineral,iu,6
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Methylfolate (5-MTHF),0.8,standard,vitamin,mcg,7
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Methylcobalamin (B12),0.5,standard,vitamin,mcg,8
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Pyridoxal-5-Phosphate (B6),25.0,standard,vitamin,mg,9
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Riboflavin-5-Phosphate (B2),25.0,standard,vitamin,mg,10
2,CATALYST+ Energy & Recovery Essentials Multivitamin (Methylated B + Magnesium Synergy),Thiamine HCL (B1),25.0,standard,vitamin,mg,11
